X,Y,ID,FacilityID,LotName,Community,Address,City,State,Zipcode,Lat,Lon,ConvenientTo,Type,Hours,HourlyCost,DailyCost,MonthlyCost,SpecialFeatures,Spaces,Status
-118.4473202,34.18574989,250,601,Friar & Sylmar Parking Garage,Van Nuys,14401 Friar St,Van Nuys,CA,91401-2125,34.185745,-118.447308,San Fernando Valley Civic Center & shops,Operated,5:30am-7pm Mon-Fri,$1.80 ,$7.20 ,$72.00 ,Closed nightly & Sat-Sun all day; max height clearance 6 feet 9 inches,237,Operational
-118.3778362,34.16796789,251,602,Chandler & Tujunga Parking Lot,North Hollywood,11320 Chandler Blvd,North Hollywood,CA,91601-3130,34.167963,-118.377824,"Post Office, Metro Red Line & Orange Line Stations",Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,,46,Operational
-118.4492732,34.18584189,252,609,Friar & Van Nuys Parking Lot,Van Nuys,14521 Friar St,Van Nuys,CA,91401-2309,34.185837,-118.449261,San Fernando Valley Civic Center & shops,Operated,8am-5pm Mon-Sat,$1.10 ,$5.00 ,$49.50 ,$2.00 flat rate after 2pm,76,Operational
-118.4494892,34.18750489,253,610,Gilmore & Van Nuys Parking Lot,Van Nuys,14532 Gilmore St,Van Nuys,CA,91411-1602,34.1875,-118.449477,San Fernando Valley Civic Center & shops,Operated,8am-5pm Mon-Fri,$1.10 ,$5.00 ,$38.50 ,$2.00 flat rate after 2pm,138,Operational
-118.4586492,33.99149987,254,613,Pisani & Venice Parking Lot,Venice,2010 S Pisani Pl,Venice,CA,90291-3817,33.991495,-118.458637,"Pacific Residents Theater, art center & shops",Free,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit,53,Operational
-118.3491801,34.06170688,255,614,Cochran & Wilshire Parking Lot,Miracle Mile,728 S Cochran Ave,Wilshire,CA,90036-3813,34.061702,-118.349168,Shops,Metered,7am-9pm Daily,$1.00 ,$4.00/10 hrs,$30.00 ,9pm-7am overnight parking by monthly permit only,41,Operational
-118.4656182,33.99090887,256,616,California & Electric Parking Lot,Venice,1411 Electric Ave,Venice,CA,90291-3733,33.990904,-118.465606,Restaurants & shops,Free,7am-2am Daily,Free,Free,N/A,"Mon-Fri 8 hrs max time limit, Sat-Sun 4 hrs max time limit; no overnight parking 2am-7am nightly",29,Operational
-118.4644982,33.99062587,257,617,Milwood & Electric Parking Lot,Venice,1511 Electric Ave,Venice,CA,90291-3735,33.990621,-118.464486,Restaurants & shops,Free,7am-2am Daily,Free,Free,N/A,"Mon-Fri 8 hrs max time limit, Sat-Sun 4 hrs max time limit; no overnight parking 2am-7am nightly",22,Operational
-118.6001452,34.19986789,258,618,Remmet & Sherman Way East Parking Lot,Canoga Park,7134 Remmet Ave,Canoga Park,CA,91303,34.199863,-118.600133,Shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,2 hrs max time limit,19,Operational
-118.3530122,34.09780489,259,619,Gardner & Sunset Parking Lot,Hollywood,1451 Gardner St,Hollywood,CA,90046-4101,34.0978,-118.353,Restaurants & shops,Metered,7am-12 midnight Daily,$0.75 ,$1.50/2 hrs,N/A,2 hrs max time limit,22,Operational
