Fuel Type Code,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude,EV Connector Types,Facility Type,EV Pricing
ELEC,AAA Car Care Plus,2131 Eggert Rd,Amherst,NY,14226,,1,,42.979363,-78.821443,J1772,PARKING_LOT,Free
ELEC,AAA Car Care Plus,8120 Main St,Clarence,NY,14221,,1,,42.965851,-78.69278,J1772,SHOPPING_CENTER,Free
ELEC,Thruway Nissan,79 Route 17K,Newburgh,NY,12550,,1,,41.504105,-74.068916,J1772,CAR_DEALER,Free
ELEC,Country Club Imports,55 Oneida St,Oneonta,NY,13820,,2,2,42.451285,-75.100333,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
ELEC,West-Herr Nissan,3580 Southwestern Blvd,Orchard Park,NY,14127,,1,,42.784867,-78.76558,J1772,CAR_DEALER,Free
ELEC,Nissan 112,730 Route 112,Patchogue,NY,11772,,1,1,40.792986,-73.00827,CHADEMO J1772,CAR_DEALER,Free
ELEC,Huttig Nissan,4670 State Route 9,Plattsburgh,NY,12901,,1,,44.667361,-73.444894,J1772,CAR_DEALER,Free
ELEC,Nissan City - Port Chester,225 Boston Post Rd,Port Chester,NY,10573,,1,,40.996358,-73.669405,J1772,CAR_DEALER,Free
ELEC,Riverhead Auto Mall,1800 Old Country Rd,Riverhead,NY,11901,,2,2,40.924758,-72.704752,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
ELEC,Dorschel Nissan,3817 W Henrietta Rd,Rochester,NY,14623,,3,,43.077581,-77.641934,J1772,CAR_DEALER,Free
ELEC,Smithtown Nissan,535 Middle Country Rd,St. James,NY,11780,,1,1,40.859886,-73.162067,CHADEMO J1772,CAR_DEALER,
ELEC,Lia Nissan,2233 Central Ave,Schenectady,NY,12304,,1,,42.764517,-73.88522,J1772,CAR_DEALER,Free
ELEC,Gregoris Motors,555 W Merrick Rd,Valley Stream,NY,11580,,1,,40.670497,-73.717206,J1772,CAR_DEALER,Free
ELEC,Legend Nissan,268 Jericho Turnpike,Syosset,NY,11791,,1,,40.809865,-73.507761,J1772,CAR_DEALER,Free
ELEC,Serafini Nissan-Volvo,3101 Vestal Pkwy E,Vestal,NY,13850,,1,,42.095812,-76.003703,J1772,CAR_DEALER,Free
ELEC,Poughkeepsie Nissan,1445 Route 9,Wappingers Falls,NY,12590,,1,,41.587383,-73.908392,J1772,CAR_DEALER,Free
ELEC,Vision Nissan,785 Ridge Rd,Webster,NY,14580,,1,,43.204065,-77.478237,J1772,CAR_DEALER,Free
ELEC,Nissan of Westbury,939 Old Country Rd,Westbury,NY,11590,,1,1,40.753954,-73.561974,CHADEMO J1772,CAR_DEALER,Free
ELEC,West Herr Nissan - Williamsville,8137 Main St,Williamsville,NY,14221,,1,,42.96275,-78.691132,J1772,CAR_DEALER,Free
ELEC,Nissan of Yorktown Heights,3495 Old Crompond Rd,Yorktown Heights,NY,10598,,2,1,41.289317,-73.835547,CHADEMO J1772,CAR_DEALER,Free
ELEC,Destination Nissan,770 Central Ave,Albany,NY,12206,,1,,42.676971,-73.787334,J1772,CAR_DEALER,Free
ELEC,Mike Barney Nissan,3676 Sheridan Dr,Amherst,NY,14226,,2,,42.979725,-78.797346,J1772,CAR_DEALER,Free
ELEC,Lebrun Nissan,396 Grant Ave,Auburn,NY,13021,,1,,42.966894,-76.535879,J1772,CAR_DEALER,Free
ELEC,Star Nissan,20602 Northern Blvd,Bayside,NY,11361,,1,,40.758245,-73.776954,J1772,CAR_DEALER,Free
ELEC,Rockland Nissan,608 Route 303,Blauvelt,NY,10913,,1,,41.071072,-73.950866,J1772,CAR_DEALER,Free
ELEC,Bay Ridge Nissan,6501 5th Ave,Brooklyn,NY,11220,,1,,40.636324,-74.019228,J1772,CAR_DEALER,Free
ELEC,Kings Nissan,2758 Coney Island Ave,Brooklyn,NY,11235,,1,,40.589167,-73.960707,J1772,CAR_DEALER,Free
ELEC,Burdick Nissan,5885 E Circle Dr,Cicero,NY,13039,,1,,43.147147,-76.114274,J1772,CAR_DEALER,Free
ELEC,Hoselton Nissan,66 Marsh Rd,East Rochester,NY,14445,,1,,43.100001,-77.481422,J1772,CAR_DEALER,Free
ELEC,Rockaway Nissan,600 Burnside Ave,Inwood,NY,11096,,1,,40.622268,-73.742699,J1772,CAR_DEALER,Free
ELEC,Maguire Nissan,504 S Meadow St,Ithaca,NY,14850,,1,,42.435042,-76.5088,J1772,CAR_DEALER,Free
ELEC,Nemet Motors,153-12 Hillside Ave,Jamaica,NY,11432,,1,,40.707242,-73.803844,J1772,CAR_DEALER,Free
ELEC,Treiber Nissan,320 N Comrie Ave,Johnstown,NY,12095,,1,,43.025044,-74.358103,J1772,CAR_DEALER,Free
ELEC,Nissan - Garden City,316 N Franklin St,Hempstead,NY,11550,,1,1,40.71693,-73.630152,CHADEMO J1772,CAR_DEALER,Free
ELEC,Simmons Rockwell Nissan,224 Colonial Dr,Horseheads,NY,14845,,1,1,42.16246,-76.867435,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free
ELEC,Nissan - Huntington,850 E Jericho Turnpike,Huntington Station,NY,11746,,1,1,40.834455,-73.379693,CHADEMO J1772,CAR_DEALER,Free
ELEC,Kingston Nissan,140 Route 28,Kingston,NY,12401,,1,1,41.948965,-74.032033,CHADEMO J1772,CAR_DEALER,Free
ELEC,West Herr Nissan,6069 S Transit Rd,Lockport,NY,14094,,1,,43.128557,-78.696197,J1772,CAR_DEALER,Free
ELEC,Nissan Kia - Middletown,4961 Route 17M,New Hampton,NY,10958,,1,,41.40859,-74.413372,J1772,CAR_DEALER,Free
ELEC,Nissan of New Rochelle,2533 Palmer Ave,New Rochelle,NY,10801,,1,1,40.919104,-73.776645,CHADEMO J1772,CAR_DEALER,Free
ELEC,Baron Nissan,235 Glen Cove Rd,Greenvale,NY,11548,,1,,40.816267,-73.625869,J1772,CAR_DEALER,Free
ELEC,Vision Nissan Greece,4000 W Ridge Rd,Rochester,NY,14626,,3,,43.216099,-77.73619,J1772,CAR_DEALER,Free
ELEC,Central Avenue Nissan,1919 Central Park Ave,Yonkers,NY,10710,,1,1,40.964447,-73.840117,CHADEMO J1772,CAR_DEALER,Free
ELEC,Shults Nissan,311 Fluvanna Ave,Jamestown,NY,14701,,1,,42.115661,-79.253776,J1772,CAR_DEALER,Free
ELEC,Nissan of Queens,9325 Rockaway Blvd,Ozone Park,NY,11417,,1,,40.68117,-73.845621,J1772,CAR_DEALER,Free
ELEC,Town of Penfield - Library,1985 Baird Rd,Penfield,NY,14526,,1,,43.137476,-77.465214,J1772,LIBRARY,Free
ELEC,ShopRite Plaza,2333 Nott St E,Niskayuna,NY,12309,,2,,42.816614,-73.889657,J1772,GROCERY,Free
ELEC,TRICITYRENTALS WOODLAKE 2,61 Woodlake Rd N,Albany,NY,12203,,2,,42.677277,-73.84716,J1772,,
ELEC,Fairport Village Landing,100 Fairport Village Landing,Fairport,NY,14450,,6,,43.100514,-77.443475,J1772,SHOPPING_CENTER,Free
ELEC,Ruge's Chevrolet,3692 Route 44,Millbrook,NY,12545,,1,,41.791563,-73.659717,J1772,CAR_DEALER,Free
ELEC,Henderson Ford,810 E Ridge Rd,Webster,NY,14580,,2,,43.205714,-77.476722,J1772,CAR_DEALER,Free
ELEC,Steet-Ponte Ford Lincoln Mazda,5074 Commercial Dr,Yorkville,NY,13495,,1,,43.110055,-75.293478,J1772,CAR_DEALER,Free
ELEC,ADELPHI UNIV STATION 01,1 South Ave,Garden City,NY,11530,,2,,40.719618,-73.649987,J1772,,
ELEC,ROCHESTER NY WASH SQ GARAGE2,111 Woodbury Blvd,Rochester,NY,14607,,2,,43.152697,-77.603915,J1772,,
ELEC,ROCHESTER NY COURT ST 2,194 Court St,Rochester,NY,14604,,2,,43.15395,-77.607471,J1772,,
ELEC,ROCHESTER NY PORT OF ROCH 1,1000 N River St,Rochester,NY,14612,,2,,43.256302,-77.606672,J1772,,
ELEC,Broccolo Tree and Lawncare Garden Center,2755 Penfield Rd,Fairport,NY,14450,,1,,43.129935,-77.386788,J1772,SHOPPING_CENTER,Free
ELEC,ROCHESTER NY PUBLC MARKET,39 Trinidad St,Rochester,NY,14605,,2,,43.16603,-77.591324,J1772,,
ELEC,Bristol Harbour Resort,5410 Seneca Point Rd,Canandaigua,NY,14424,,1,,42.753957,-77.336811,J1772,HOTEL,Free
ELEC,Village of Spencerport - Town Hall,27 West Ave,Spencerport,NY,14559,,2,,43.191311,-77.801933,J1772,MUNI_GOV,Free
ELEC,Niagara Falls International Airport,2035 Niagara Falls Blvd,Niagara Falls,NY,14304,,2,,43.101378,-78.941072,J1772,AIRPORT,Free
ELEC,Buffalo Niagara International Airport,4200 Genesee St,Buffalo,NY,14225,,3,,42.933441,-78.731633,J1772,AIRPORT,Free
ELEC,Towne Ford Lincoln,3535 Southwestern Blvd,Orchard Park,NY,14075,,1,,42.786617,-78.761212,J1772,CAR_DEALER,Free
ELEC,Finger Lakes Waterfall Resort Motel & Cabins,3835 State Route 414,Burdett,NY,14818,,1,,42.418993,-76.867035,J1772,HOTEL,
ELEC,Rochester Institute of Technology - Lot T,1 Lomb Memorial Dr,Rochester,NY,14623,,6,,43.08779,-77.674413,J1772,COLLEGE_CAMPUS,Free
ELEC,Albany International Airport,737 Albany Shaker Rd,Albany,NY,12205,,16,,42.739746,-73.808186,J1772,AIRPORT,Free
ELEC,Dana Ford Lincoln,266 W Service Rd,Staten Island,NY,10314,,1,,40.587162,-74.194747,J1772,CAR_DEALER,Free
ELEC,Ramp Ford,4869 Nesconset Hwy,Port Jefferson Station,NY,11776,,1,,40.91966,-73.051332,J1772,CAR_DEALER,Free
ELEC,Cliff's Elbow Too,1085 Franklinville Rd,Laurel,NY,11948,,1,,40.968038,-72.562787,J1772,RESTAURANT,Free
ELEC,Cliff's Elbow Room,1549 Main Rd,Jamesport,NY,11947,,1,,40.948819,-72.582795,J1772,RESTAURANT,Free
ELEC,Town of Cortlandt,1 Heady St,Cortlandt,NY,10567,,2,,41.310139,-73.905002,J1772,MUNI_GOV,
ELEC,Tarrytown Metro - North Train Station,4173 Green St,Tarrytown,NY,10591,,3,,41.07626119,-73.86568629,J1772,PAY_LOT,
ELEC,Chappaqua Metro - North Train Station,108 Allen Pl,Chappaqua,NY,10514,,3,,41.159228,-73.773508,J1772,PARKING_LOT,
ELEC,Hamilton Parking Garage,365 Hamilton Ave,White Plains,NY,10601,,3,,41.034121,-73.766241,J1772,PAY_GARAGE,$1.50 per hour
ELEC,Longview Parking Garage,11 Longview Ave,White Plains,NY,10601,,2,,41.026867,-73.767674,J1772,PAY_GARAGE,$1.50 per hour
ELEC,Lyons Place Municipal Parking Garage,4 Lyons Pl,White Plains,NY,10601,,2,,41.02894,-73.763727,J1772,PAY_GARAGE,$1.50 per hour
ELEC,Skaneateles Village Hall,26 Fennell St,Skaneateles,NY,13152,,3,,42.948234,-76.431694,J1772,MUNI_GOV,
ELEC,Lexington-Grove East Garage,100 Main St,White Plains,NY,10601,,3,,41.031464,-73.769946,J1772,PAY_GARAGE,$1.50 per hour
ELEC,Market 32,19 Centre Dr,Plattsburgh,NY,12901,,2,,44.695363,-73.492162,J1772,GROCERY,Free
ELEC,Beacon Metro North Train Station,1 Ferry Plaza,Beacon,NY,12508,,4,,41.505079,-73.983205,J1772,PAY_LOT,
ELEC,Stony Brook University,118 Administration,Stony Brook,NY,11790,,2,,40.914818,-73.119813,J1772,COLLEGE_CAMPUS,$2 per hour
ELEC,Port Authority Bus Terminal,625 8th Ave,New York,NY,10018,,2,,40.756177,-73.990558,J1772,PARKING_GARAGE,
ELEC,Bay Ridge Municipal Parking Garage,8501 5th Ave,Brooklyn,NY,11209,,5,,40.62215,-74.02565,J1772,PAY_GARAGE,Free
ELEC,Court Square Municipal Parking Garage,45 Court Square,Queens,NY,11101,,9,,40.745358,-73.942642,J1772,PARKING_LOT,Free
ELEC,East 149th Street Municipal Parking Garage,315 E 149th St,Bronx,NY,10451,,3,,40.817326,-73.920914,J1772,PARKING_LOT,Free
ELEC,Saint George Courthouse,54 Central Ave,Staten Island,NY,10301,,5,,40.63947,-74.076912,J1772,PARKING_LOT,
ELEC,Jamestown Community College,525 Falconer St,Jamestown,NY,14702,,2,,42.114535,-79.217718,J1772,COLLEGE_CAMPUS,Free
ELEC,Rouses Point,139 Lake St,Rouses Point,NY,12979,,2,,44.991537,-73.36399,J1772,PAY_GARAGE,
ELEC,Long Island Railroad - Freeport,Freeport Plaza E,Freeport,NY,11520,,1,,40.656692,-73.580924,J1772,PAY_LOT,Free
ELEC,SCCC GRANT CAMPUS 1,701 County Rd 106,Brentwood,NY,11717,,2,,40.79644,-73.272793,J1772,,
ELEC,ScottTech,336 Court St,Binghamton,NY,13904,,1,,42.103472,-75.892293,J1772,OFFICE_BLDG,Free
ELEC,Price Chopper,1060 Madison Ave,Albany,NY,12208,,1,,42.664671,-73.790463,J1772,GROCERY,Free
ELEC,Fuccillo Nissan,3893 Route 31,Liverpool,NY,13090,,1,,43.185219,-76.242663,J1772,CAR_DEALER,Free
ELEC,Fuccillo Nissan - Latham,976 New Loudon Rd,Latham,NY,12110,,1,,42.76943,-73.754611,J1772,CAR_DEALER,Free
ELEC,SUNY ONEONTA SUNY ONEONTA,24-26 Ravine Pkwy N,Oneonta,NY,13820,,2,,42.469481,-75.065723,J1772,,
ELEC,Rechler Equity,85 S Service Rd,Plainview,NY,11803,,1,,40.7865204,-73.4521865,J1772,OFFICE_BLDG,
