Fuel Type Code,Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude,EV Connector Types,Facility Type,EV Pricing
ELEC,City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,,4,,47.044011,-122.822404,J1772,MUNI_GOV,
ELEC,Avista Corp,1411 E Mission Ave,Spokane,WA,99252,1,2,,47.673347,-117.388933,J1772 NEMA520,OFFICE_BLDG,Free
ELEC,Steam Plant Grill,159 S Lincoln St,Spokane,WA,99201,,1,,47.654998,-117.425025,J1772,RESTAURANT,Free
ELEC,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Bellevue,WA,98004,,2,,47.614744,-122.193162,J1772,,
ELEC,The Evergreen State College,2700 Evergreen Pkwy NW,Olympia,WA,98505,2,2,,47.071917,-122.976675,J1772 NEMA520,COLLEGE_CAMPUS,
ELEC,Washington Department of Labor & Industries - Department of Health - Department of Transportation,243 Israel Rd SE,Tumwater,WA,98501,,6,,46.984193,-122.904856,J1772,STATE_GOV,Free
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,,2,,47.545324,-122.0195,J1772,,
ELEC,UWB CASCADIA CC NORTH DUAL 1,18500 Campus Way NE,Bothell,WA,98011,,2,,47.761878,-122.191915,J1772,,
ELEC,CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,,2,,47.679224,-122.12995,J1772,,
ELEC,CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,,2,,47.672359,-122.099034,J1772,,
ELEC,WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Woodinville,WA,98072,,2,,47.734211,-122.147041,J1772,,
ELEC,Bellingham Nissan,1516 Iowa St,Bellingham,WA,98229,,2,1,48.755607,-122.454132,CHADEMO J1772,CAR_DEALER,Free
ELEC,Advantage Nissan,5101 Auto Center Blvd,Bremerton,WA,98312,,1,,47.562162,-122.684286,J1772,CAR_DEALER,Free
ELEC,Burien Nissan,16042 1st Ave S,Burien,WA,98148,,2,1,47.458466,-122.333257,CHADEMO J1772,CAR_DEALER,Free
ELEC,Campbell-Nelson Nissan,24325 Highway 99,Edmonds,WA,98026,,2,,47.778229,-122.344838,J1772,CAR_DEALER,Free
ELEC,Campbell Nissan - Everett,10500 Highway 99 S,Everett,WA,98204,,2,,47.90272982,-122.2469884,J1772,CAR_DEALER,Free
ELEC,Olympia Nissan,2220 Carriage Dr SW,Olympia,WA,98502,,1,,47.031067,-122.930247,J1772,CAR_DEALER,Free
ELEC,Bill Robertson Nissan,928 N 28th Ave,Pasco,WA,99301,,1,,46.236607,-119.128998,J1772,CAR_DEALER,Free
ELEC,Dan Wilder Nissan,53 Jetta Way,Port Angeles,WA,98362,,2,1,48.102863,-123.342273,CHADEMO J1772,CAR_DEALER,Free
ELEC,Puyallup Nissan,101 Valley Ave NW,Puyallup,WA,98371,,1,1,47.207367,-122.294997,CHADEMO J1772,CAR_DEALER,Free
ELEC,Younker Nissan,3401 E Valley Rd,Renton,WA,98058,,1,1,47.448354,-122.2188,CHADEMO J1772,CAR_DEALER,Free
ELEC,Wendle Nissan,9000 N Division St,Spokane,WA,99218,,1,,47.739021,-117.409937,J1772,CAR_DEALER,Free
ELEC,Dave Smith Nissan - Spokane,6901 E Sprague Ave,Spokane Valley,WA,99212,,2,1,47.657264,-117.312518,CHADEMO J1772,CAR_DEALER,Free
ELEC,Tacoma Nissan,4030 S Tacoma Way,Tacoma,WA,98409,,1,,47.21978,-122.48576,J1772,CAR_DEALER,Free
ELEC,Alan Webb Nissan,3608 NE Auto Mall Dr,Vancouver,WA,98662,,1,,45.648094,-122.597954,J1772,CAR_DEALER,Free
ELEC,O'Brien Nissan,1395 Dalles Military Rd,Walla Walla,WA,99362,,1,,46.047464,-118.353406,J1772,CAR_DEALER,Free
ELEC,KEY CENTER KEY CENTER 6,601 108th Ave NE,Bellevue,WA,98004,,2,,47.616104,-122.19696,J1772,,
ELEC,KRC SKYLINE SKYLINE #1,10900 NE 4th St,Bellevue,WA,98004,,2,,47.61434,-122.194037,J1772,,
ELEC,Snohomish County - Campus Garage,3000 Rockefeller Ave,Everett,WA,98201,,8,,47.97725,-122.206369,J1772,PARKING_LOT,Free
ELEC,Caplan's Rainbow Parking,214 Columbia St,Seattle,WA,98104,,2,,47.604115,-122.332907,J1772,PARKING_GARAGE,Free
ELEC,CITY OF SEATAC CITY HALL 1,4800 S 188th St,SeaTac,WA,98188,,2,,47.434021,-122.273183,J1772,,
ELEC,TPU TPU HQ #6,3628 S 35th St,Tacoma,WA,98409,,2,,47.228593,-122.484226,J1772,,
ELEC,BELLEVUE SBCC #2,14509 SE Newport Way,Bellevue,WA,98006,,2,,47.568871,-122.145285,J1772,,
ELEC,EASTGATE OFFICE EASTGATE DUAL 1,15395 SE 30th Pl,Bellevue,WA,98007,,2,,47.581979,-122.136238,J1772,,
ELEC,SAMMAMISH GARAGE 1,801 228th Ave SE,Sammamish,WA,98075,,2,,47.601657,-122.036938,J1772,,
ELEC,IBEW LOCAL 46 IBEW LOCAL 46 1,19802 62nd Ave S,Kent,WA,98032,,2,,47.424222,-122.256619,J1772,,
ELEC,VALLEY MED CTR MAIN LOT #5,400 S 43rd St,Renton,WA,98055,,2,,47.443255,-122.212445,J1772,,
ELEC,VALLEY MED CTR N GARAGE #1,4033 Talbot Rd S,Renton,WA,98055,,2,,47.444606,-122.214491,J1772,,
ELEC,City of Renton - City Hall,1055 S Grady Way,Renton,WA,98057,,2,,47.474537,-122.204976,J1772,MUNI_GOV,Free
ELEC,PW PARKING A ST GARAGE 01,110 S 10th St,Tacoma,WA,98402,,2,,47.253809,-122.437429,J1772,,
ELEC,PW PARKING GLASS MUSEUM 01,1801 Dock St,Tacoma,WA,98402,,2,,47.245934,-122.43398,J1772,,
ELEC,Pierce County - Annex Lot,2401 S 35th St,Tacoma,WA,98409,,1,,47.228866,-122.469105,J1772,MUNI_GOV,Free
ELEC,Pierce County - City Building,930 Tacoma Ave S,Tacoma,WA,98402,,1,,47.253668,-122.446141,J1772,MUNI_GOV,Free
ELEC,City of Seattle - Central Library,1000 4th Ave,Seattle,WA,98104,,3,,47.606684,-122.332664,J1772,LIBRARY,$2 per session
ELEC,City of Seattle - Seattle Center,516 Harrison St,Seattle,WA,98109,,9,,47.622085,-122.347124,J1772,MUNI_GOV,$2 per session
ELEC,Valley Nissan,1010 S 1st St,Yakima,WA,98901,,1,,46.590246,-120.500687,J1772,CAR_DEALER,Free
ELEC,Snohomish County - Evergreen Fairgrounds,14405 179th Ave SE,Monroe,WA,98272,,2,,47.868914,-121.987449,J1772,MUNI_GOV,Free
ELEC,Snohomish County - Willis Tucker Community Park,6705 Puget Park Dr,Snohomish,WA,98296,,3,,47.864699,-122.138672,J1772,MUNI_GOV,Free
ELEC,OAK HARBOR OH DUAL #1,1270 SE Dock St,Oak Harbor,WA,98277,,2,,48.288066,-122.648224,J1772,,
ELEC,KING COUNTY DOT KSC STATION #1,201 S Jackson St,Seattle,WA,98104,,1,,47.598663,-122.331009,J1772,,
ELEC,SKAGIT COUNTY ADMIN STATION 2,1800 Continental Pl,Mount Vernon,WA,98273,,1,,48.437569,-122.325494,J1772,,
ELEC,SWEDISH EDMONDS STATION 01,21601 76th Ave. West,Edmonds,WA,98026,,2,,47.804365,-122.334163,J1772,,
ELEC,Nikola Broadband,224 W Washington St,Sequim,WA,98382,,1,,48.079908,-123.105772,J1772,OFFICE_BLDG,Free
ELEC,Mazama Country Inn,15 Country Rd,Mazama,WA,98833,,1,,48.594482,-120.406494,J1772,HOTEL,Free
