zip,facility_type,ev_slow,ev_dc_fast_count,spaces
90001,STORAGE,1.0,0.0,
90002,STREET_PARKING,1.0,0.0,
90003,UTILITY,2.0,0.0,61.0
90003,UTILITY,2.0,0.0,21.0
90003,UTILITY,2.0,0.0,64.0
90006,UTILITY,1.0,0.0,
90007,COLLEGE_CAMPUS,0.0,1.0,
90007,MUSEUM,7.0,0.0,
90007,OFFICE_BLDG,2.0,0.0,
90007,UTILITY,2.0,0.0,
90010,PARKING_GARAGE,2.0,0.0,
90012,HOTEL,2.0,0.0,539.0
90012,HOTEL,2.0,0.0,300.0
90012,PARKING_LOT,13.0,0.0,539.0
90012,PARKING_LOT,13.0,0.0,300.0
90012,PAY_GARAGE,15.0,0.0,539.0
90012,PAY_GARAGE,15.0,0.0,300.0
90012,UTILITY,42.0,0.0,539.0
90012,UTILITY,42.0,0.0,300.0
90013,OFFICE_BLDG,8.0,0.0,
90013,UTILITY,1.0,0.0,
90014,HOTEL,3.0,0.0,140.0
90015,BANK,2.0,0.0,
90015,CAR_DEALER,1.0,1.0,
90015,HOTEL,6.0,0.0,
90015,PARKING_GARAGE,14.0,0.0,
90015,PARKING_LOT,1.0,0.0,
90015,UTILITY,2.0,0.0,
90016,OFFICE_BLDG,9.0,0.0,89.0
90016,PARKING_LOT,3.0,0.0,89.0
90017,HOSPITAL,14.0,0.0,
90017,SHOPPING_MALL,4.0,0.0,
90017,UTILITY,0.0,1.0,
90021,OFFICE_BLDG,1.0,0.0,
90021,RESTAURANT,0.0,2.0,
90021,SHOPPING_MALL,0.0,16.0,
90021,UTILITY,1.0,0.0,
90022,MUNI_GOV,2.0,0.0,
90022,PARKING_GARAGE,6.0,0.0,
90024,COLLEGE_CAMPUS,4.0,0.0,366.0
90024,HOTEL,2.0,0.0,366.0
90024,SHOPPING_MALL,4.0,0.0,366.0
90025,HOSPITAL,2.0,0.0,111.0
90025,HOSPITAL,2.0,0.0,17.0
90025,HOSPITAL,2.0,0.0,24.0
90025,HOSPITAL,2.0,0.0,81.0
90025,MULTI_UNIT_DWELLING,17.0,6.0,111.0
90025,MULTI_UNIT_DWELLING,17.0,6.0,17.0
90025,MULTI_UNIT_DWELLING,17.0,6.0,24.0
90025,MULTI_UNIT_DWELLING,17.0,6.0,81.0
90025,PARKING_LOT,0.0,8.0,111.0
90025,PARKING_LOT,0.0,8.0,17.0
90025,PARKING_LOT,0.0,8.0,24.0
90025,PARKING_LOT,0.0,8.0,81.0
90025,RESTAURANT,2.0,0.0,111.0
90025,RESTAURANT,2.0,0.0,17.0
90025,RESTAURANT,2.0,0.0,24.0
90025,RESTAURANT,2.0,0.0,81.0
90026,HOSPITAL,0.0,4.0,9.0
90026,HOSPITAL,0.0,4.0,163.0
90026,HOSPITAL,0.0,4.0,14.0
90027,OTHER_ENTERTAINMENT,6.0,0.0,32.0
90027,PARKING_LOT,0.0,8.0,32.0
90028,HOTEL,6.0,0.0,3021.0
90028,HOTEL,6.0,0.0,535.0
90028,HOTEL,6.0,0.0,55.0
90028,HOTEL,6.0,0.0,457.0
90028,PARKING_GARAGE,6.0,18.0,3021.0
90028,PARKING_GARAGE,6.0,18.0,535.0
90028,PARKING_GARAGE,6.0,18.0,55.0
90028,PARKING_GARAGE,6.0,18.0,457.0
90028,STORAGE,1.0,0.0,3021.0
90028,STORAGE,1.0,0.0,535.0
90028,STORAGE,1.0,0.0,55.0
90028,STORAGE,1.0,0.0,457.0
90029,HOTEL,3.0,0.0,
90029,STANDALONE_STATION,1.0,0.0,
90031,UTILITY,0.0,1.0,302.0
90031,UTILITY,0.0,1.0,28.0
90034,PARKING_GARAGE,6.0,0.0,
90035,HOTEL,4.0,0.0,66.0
90035,HOTEL,4.0,0.0,50.0
90035,OFFICE_BLDG,4.0,0.0,66.0
90035,OFFICE_BLDG,4.0,0.0,50.0
